hm2_7i96.0.ssr.00.out.00 is output 0 (of 0..5)
<inputs 0..10 are just GPIO 0..10 at least until the INM module is supported

Component Pins:
Owner   Type  Dir         Value  Name
    13  float IN              1  axis.a.jog-accel-fraction
    13  s32   IN              0  axis.a.jog-counts
    13  bit   IN          FALSE  axis.a.jog-enable
    13  float IN              0  axis.a.jog-scale
    13  bit   IN          FALSE  axis.a.jog-vel-mode
    13  bit   OUT         FALSE  axis.a.kb-jog-active
    13  float OUT             0  axis.a.pos-cmd
    13  float OUT             0  axis.a.teleop-pos-cmd
    13  bit   OUT         FALSE  axis.a.teleop-tp-enable
    13  float OUT             0  axis.a.teleop-vel-cmd
    13  float OUT             0  axis.a.teleop-vel-lim
    13  bit   OUT         FALSE  axis.a.wheel-jog-active
    13  float IN              1  axis.b.jog-accel-fraction
    13  s32   IN              0  axis.b.jog-counts
    13  bit   IN          FALSE  axis.b.jog-enable
    13  float IN              0  axis.b.jog-scale
    13  bit   IN          FALSE  axis.b.jog-vel-mode
    13  bit   OUT         FALSE  axis.b.kb-jog-active
    13  float OUT             0  axis.b.pos-cmd
    13  float OUT             0  axis.b.teleop-pos-cmd
    13  bit   OUT         FALSE  axis.b.teleop-tp-enable
    13  float OUT             0  axis.b.teleop-vel-cmd
    13  float OUT             0  axis.b.teleop-vel-lim
    13  bit   OUT         FALSE  axis.b.wheel-jog-active
    13  float IN              1  axis.c.jog-accel-fraction
    13  s32   IN              0  axis.c.jog-counts
    13  bit   IN          FALSE  axis.c.jog-enable
    13  float IN              0  axis.c.jog-scale
    13  bit   IN          FALSE  axis.c.jog-vel-mode
    13  bit   OUT         FALSE  axis.c.kb-jog-active
    13  float OUT             0  axis.c.pos-cmd
    13  float OUT             0  axis.c.teleop-pos-cmd
    13  bit   OUT         FALSE  axis.c.teleop-tp-enable
    13  float OUT             0  axis.c.teleop-vel-cmd
    13  float OUT             0  axis.c.teleop-vel-lim
    13  bit   OUT         FALSE  axis.c.wheel-jog-active
    13  float IN              1  axis.u.jog-accel-fraction
    13  s32   IN              0  axis.u.jog-counts
    13  bit   IN          FALSE  axis.u.jog-enable
    13  float IN              0  axis.u.jog-scale
    13  bit   IN          FALSE  axis.u.jog-vel-mode
    13  bit   OUT         FALSE  axis.u.kb-jog-active
    13  float OUT             0  axis.u.pos-cmd
    13  float OUT             0  axis.u.teleop-pos-cmd
    13  bit   OUT         FALSE  axis.u.teleop-tp-enable
    13  float OUT             0  axis.u.teleop-vel-cmd
    13  float OUT             0  axis.u.teleop-vel-lim
    13  bit   OUT         FALSE  axis.u.wheel-jog-active
    13  float IN              1  axis.v.jog-accel-fraction
    13  s32   IN              0  axis.v.jog-counts
    13  bit   IN          FALSE  axis.v.jog-enable
